ID;	firstName;	paternalName;	lastName;	mother;	father;	gender;	spouse;	birthDate;	deathDate;	
1;	Алексей ;	Семенович;	Василенко;	;;	М;4;    12.08.1965 ;	;	
11;	Антонина;	Игнатьевна;	Виноградова;	;;	Ж;1;	21.09.1977;	;
2;	Геннадий;	Петрович;	Белов;		;;	М;12;	19.01.1980;	;
34;	Василиса;	Антоновна;	Ковалёва;	;;	Ж;;	11.12.1975;	;
23;	Светлана;	Алексеевна;	Василенко;	11;1;	Ж;;	24.11.1973;	;
32;	Андрей  ;	Алексеевич;	Василенко;	11;1;	Ж;;	12.11.1980;	;
12;	Раиса   ;	Алексеевна;	Белова;		11;1;	М;2;	18.08.2001;	;
8;	Андрей  ;	Викторович;	Владыкин;	21;36;	М;14;	22.04.1979;	;
14;	Алиса   ;	Геннадьевна;	Владыкина;	;2;	Ж;8;	12.08.1973;	;	
36;	Петр    ;	Васильевич;	Владыкин;	77;55;	М;21;	09.07.1981;	;
21;	Тамара  ;	Петровна;	Владыкина;	67;35;	Ж;36;	26.04.1980;	;
33;	Алексей ;		 ;	Мишкин  ;	;;	M;;	21.05.1986;	;
35;	Петр    ;	Ефставьевич;	Вишневецкий;	;;      М;;	05.12.1999;	;
45;	Альбина ;	Васильевна;	Мельник ;	67;55;	Ж;;	19.01.1990;	;
67;	Алла    ;	Витальевна;	Мерзлова;	;;  	Ж;;     04.02.2005;	;
55;	Василий ;	Анатольевич;	Владыкин;	;;	М;;	23.04.1940;	12.03.1999;
77;	Марина  ;	Семеновна;	Литвиненко; 	4;1;	Ж;;	18.07.1995;	;
3;	Василий ;	Семенович;	Василенко;	4;1;	М;;	07.10.1993;	;
4;	Лариса  ;	Илларионовна;	Василенко;	;;	Ж;1;	12.11.1989;	;
5;	Светлана;	Семеновна;	Василенко;	4;1;    Ж;;	15.03.1982;	;
19;	Спицин  ;	Николай;	Дмитриевич;	;;      М;19;	01.09.1966;	;
22;     Валентина;      Эдуардовна;     Миллер	;	;;	Ж;22;	15.2.1969;	;
